file_sha,predicted_class,predicted_class_confidence,predicted_security_confidence,repo_full_name,path
6d287c9d836a8daefe2fc8e84c9f512efe2a1e75,NONE,0.2667343389982644,0.41787807229265667,cchen1-08/openclaw-kb,skills-examples/quote-of-day/SKILL.md
d85038e4e9562253d1e6a6fc17bd6d90ff8fadb5,PRIMARY,0.2667566330718779,0.45798139517418673,idallasjlabs/agentshroud,.llm_settings/skills/sec/SKILL.md
d85038e4e9562253d1e6a6fc17bd6d90ff8fadb5,PRIMARY,0.2667566330718779,0.45798139517418673,idallasjlabs/agentshroud,.claude/skills/sec/SKILL.md
88558e7d770a888383e086dec4f5a27a7c7d9154,NONE,0.2673884848539962,0.45085942975506105,greencm/gstuck,skills/review-sanitize/SKILL.md
1a80257767147e313c1a09bfc822106e03c806a1,NONE,0.26739790416214304,0.4983185159981371,tranhieutt/software_development_department,.claude/skills/code-review-checklist/SKILL.md
2c9ca368f789a3e24e8b8e90ee44dc668f1944c4,PRIMARY,0.26750147811268105,0.48692084336404845,GeorgeDoors888/GB-Power-Market-JJ,openclaw-skills/skills/allinherog-star/douyin-sentiment-dashboard/SKILL.md
c5e6ca7cbb73e38949e9832816c77f000724da63,SECONDARY,0.2678668148644548,0.4887606361507932,JackSmack1971/CCSIF,.claude/skills/migration-safety/SKILL.md
4e9f91e6058981280fe22fe94d34b267d26ac485,MENTION,0.2678835294165436,0.575378984430495,liuzhixin405/cove,internal/skills/embedded/requesting-code-review/SKILL.md
5d5a8793ba538b24ced06649151b61407bfd622d,SECONDARY,0.26806335724648106,0.5164404375205377,knownasnaffy/prompthound,dataset/case_05206/SKILL.md
ba8313c95367ca9705dd31454cea89a6aa5c3897,NONE,0.26887840382866685,0.46055050249013657,richardbowman/agent-skills,e2e-local/SKILL.md
3e205ce770486f335d0727e056b72fd297a31a5b,NONE,0.26900026989694864,0.4895121562293577,ComeOnOliver/skillshub,skills/sickn33/antigravity-awesome-skills/appdeploy/SKILL.md
f16cd29da95d29be10a5d6892a3e9912abeec7d6,MENTION,0.269310656819913,0.4944655008949142,AppDeploy-AI/skills,skills/openai/SKILL.md
d9863961fc2877abb322dfa46d05bbfd68a22d6c,NONE,0.26952196411567547,0.46235110611462077,net-k/EssentialCarsClicker,.github/skills/git-add-commit-push/SKILL.md
20f3c544f9b94a885e8a879492017cf75f2e711d,NONE,0.26996692187495736,0.4500859576130993,dvcrn/openclaw-skills-marketplace,plugins/justaboyhai-wq--safe-config/skills/safe-config/SKILL.md
20f3c544f9b94a885e8a879492017cf75f2e711d,NONE,0.26996692187495736,0.4500859576130993,dvcrn/openclaw-skills-marketplace,plugins/justaboyhai-wq--safe-config-momo/skills/safe-config/SKILL.md
20f3c544f9b94a885e8a879492017cf75f2e711d,NONE,0.26996692187495736,0.4500859576130993,dvcrn/openclaw-skills-marketplace,plugins/justaboyhai-wq--config-guard-v1/skills/safe-config/SKILL.md
08c775c1c24367527b342f4a7200b1e020852c57,SECONDARY,0.2701644102008693,0.5021564090774667,jecg2804/HumanOS,.claude/skills/iconsa-rls-validation/SKILL.md
c03c0dcd5d0dff9ffb97ba90dffb7b6b6033de4c,MENTION,0.27019125012403084,0.4829869218960945,mallen-lbx/SecurityClaw,skills/securityclaw-skill/SKILL.md
c74a9c48bd8d4ac940f953f8bf0279e6576214c2,PRIMARY,0.27074720809453906,0.487544478074917,robertzengcn/aiFetchly,.claude/skills/health/SKILL.md
20f90e7b9fa856fd3824b92f54cb2f359a391621,NONE,0.27092456125972125,0.4315389689498776,Shubchynskyi/garda-agent-orchestrator,template/skill-packs/data-database/skills/postgresql-review/SKILL.md
246f92460fe15cc3a774e575dab47409bdd4d0a8,NONE,0.271223613467414,0.4503824771127891,sakurablush/zeroagent-studio,.cursor/skills/review-before-merge/SKILL.md
d4064484ed6bf7600dc392e10a16d11a10c1479f,SECONDARY,0.2712679626163106,0.5121517813262563,peciulevicius/.dotfiles,config/claude/skills/check/SKILL.md
f0c829e085c57ed4597a056a528458e3bb6e677d,SECONDARY,0.27160846155480395,0.5492033030986361,Crispa-ai/claude-code-config,skills/code-validation-checklist/SKILL.md
092c566cab8dd495dfc4fd00c289231c06cd3b09,NONE,0.27165991856799443,0.4276578637415371,hajdu-patrik/ARSM,.claude/skills/autoservice-sql-database-test/SKILL.md
16465c5966b4a5d5c3ba895f73ad989d62d930e6,MENTION,0.27177381913417314,0.48241094458955697,ns408/ai-dev-context,examples/skill/SKILL.md
b4328e3abe2e723628227daef4d233cd138db785,NONE,0.2718818296482355,0.49416938631569324,t0lab/harness-kit,examples/nextjs-app/.agents/skills/stack-typescript/SKILL.md
b4328e3abe2e723628227daef4d233cd138db785,NONE,0.2718818296482355,0.49416938631569324,t0lab/harness-kit,examples/typescript-project/.agents/skills/stack-typescript/SKILL.md
b4328e3abe2e723628227daef4d233cd138db785,NONE,0.2718818296482355,0.49416938631569324,t0lab/harness-kit,packages/harness-kit/skills/stack-typescript/SKILL.md
b4328e3abe2e723628227daef4d233cd138db785,NONE,0.2718818296482355,0.49416938631569324,t0lab/harness-kit,examples/basic-node/.agents/skills/stack-typescript/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,majiayu000/claude-skill-registry-data,integration/pr-review-antoniocascais-claude-code-toolkit/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,David-Li0406/meta-skill-evloving,skill-flow/data/skills-refined-autoskill-36k/skillsmp/pr-review-16/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,David-Li0406/meta-skill-evloving,skill-flow/data/skills-refined-36k/skillsmp/pr-review-16/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,David-Li0406/meta-skill-evloving,skill-flow/data/skills-refined-skillclaw-36k/skillsmp/pr-review-16/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,David-Li0406/meta-skill-evloving,skill-flow/data/skills-refined-agentskillos-36k/skillsmp/pr-review-16/SKILL.md
078fc2fdc0123b1778bb94e11ec7ffab02bbb249,PRIMARY,0.2719578892582389,0.4942887475343465,antoniocascais/claude-code-toolkit,skills/pr-review/SKILL.md
