task,model,macro_f1,macro_f1_std,weighted_f1,balanced_accuracy,secondary_f1,primary_f1,mention_f1,none_f1,cv_seconds,f1_non_en,f1_en,precision,recall,f1,f1_std,specificity,roc_auc,pr_auc
multiclass,A_tfidf_logreg,0.2090901681373038,0.00711079420584712,0.399288932776731,0.2573426573426573,0.0,0.14534798534798535,0.0,0.69101268720123,32.34,0.23934449537390715,0.16932206642732958,,,,,,,
multiclass,B_tfidf_linearsvc,0.2081826484018265,0.017976813461527658,0.4010407231385704,0.26433566433566436,0.0,0.13333333333333333,0.0,0.6993972602739726,33.33,0.2398176748176748,0.16739766081871346,,,,,,,
multiclass,C_embed_logreg,0.46713487893306305,0.01442974397972648,0.642748815154544,0.4786663336663336,0.13444444444444445,0.8188594014680971,0.10714285714285714,0.8080928126768534,114.92,0.48273216031280547,0.4235969258772373,,,,,,,
binary,A_tfidf_logreg,,,,0.5112903225806452,,,,,32.44,0.25392450686568335,0.0,0.4376190476190476,0.1,0.15766836062488238,0.08967777752656167,0.9225806451612903,0.6100358422939067,0.48051219745441803
binary,B_tfidf_linearsvc,,,,0.5311827956989248,,,,,21.58,0.32686202686202687,0.0,0.515,0.13333333333333333,0.2060026929592147,0.11228225366078505,0.9290322580645162,0.6483870967741935,0.5083877555315565
binary,C_embed_logreg,,,,0.7369175627240144,,,,,89.0,0.6745098039215687,0.6531131750945993,0.710343137254902,0.6222222222222222,0.6629895594601477,0.045835026996710375,0.8516129032258064,0.8304659498207885,0.7981809441234408
